schl,aun,name,districtname,leatype,total,d_asian,d_black,d_hispanic,d_islander,d_native,d_white,d_2_or_more,d_econ,d_ell,d_sped,d_title_1,d_male,d_female,d_street,d_state,d_zip,d_telephone,d_Website,d_county,d_cte_programs,d_enrollment,d_gifted,d_grades_offered,d_iu_name,d_iu_website
2552,113362303,Blue Ball El Sch,Eastern Lancaster County School District,SD,576,2.6,1.9,8,0.2,0.4,83.8,3.1,53.3,0.2,15.3,Yes,52.1,47.9,126 Ewell Rd,PA,17519,717-354-1525,http://www.elanco.org,East Earl,Not Available,576,2.1,"K5H, K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2554,113362303,Garden Spot SHS,Eastern Lancaster County School District,SD,1044,3.6,2.6,7.8,0.2,0.3,84.1,1.3,44.5,1.1,16.1,N,53.6,46.4,669 E Main St,PA,17557,717-354-1555,http://www.elanco.org,New Holland,Not Available,1044,3,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2555,113362403,Bainbridge El Sch,Elizabethtown Area School District,,,0,0,0,0,0,0,0,0,0,0,No,0,0,416 N. Second Street,PA,17502,717-426-4203,http://www.etownschools.org,Bainbridge,Not Available,0,0,"K5H, 1, 2, 3",Lancaster-Lebanon IU 13,http://www.iu13.org
2558,113362403,Mill Road El Sch,Elizabethtown Area School District,SD,188,1.1,0.5,3.7,0,0,89.9,4.8,33,0.0,9.6,No,56.9,43.1,35 Elm Ave,PA,17022,717-361-7424,http://www.etownschools.org,Elizabethtown,Not Available,188,4.3,"K5H, 1, 2, 3",Lancaster-Lebanon IU 13,http://www.iu13.org
2559,113362403,Rheems El Sch,Elizabethtown Area School District,SD,399,0.5,0.8,2.3,0,0.2,93.7,2.5,22.8,0.0,19,No,53.4,46.6,130 Alida St,PA,17570,717-367-9121,http://www.etownschools.org,Rheems,Not Available,399,1.2,"K5H, K5F, 1, 2, 3",Lancaster-Lebanon IU 13,http://www.iu13.org
2561,113362403,East High Street El Sch,Elizabethtown Area School District,SD,448,2,2.2,7.8,0,0.2,84.2,3.6,39.5,6.3,19.4,Yes,52.2,47.8,800 E High St,PA,17022,717-361-0099,http://www.etownschools.org,Elizabethtown,Not Available,448,0.9,"K5H, K5F, 1, 2, 3",Lancaster-Lebanon IU 13,http://www.iu13.org
2562,113362403,Elizabethtown Area SHS,Elizabethtown Area School District,SD,1226,2,2,4.5,0.2,0.2,88.4,2.6,27.6,1.5,7.6,No,51.9,48.1,600 E High St,PA,17022,717-367-1533,http://www.etownschools.org,Elizabethtown,Not Available,1226,8.8,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2563,113362603,Fulton El Sch,Ephrata Area School District,SD,367,2.7,1.4,9.3,0,0,81.2,5.4,57.5,4.1,22.9,Yes,50.4,49.6,51 East Fulton Street,PA,17522,717-721-1130,http://www.easdpa.org,Ephrata,Not Available,367,1.1,"K5H, K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2564,113362603,Akron El Sch,Ephrata Area School District,SD,296,2.4,2,5.7,0,0,84.5,5.4,46.6,1.0,14.5,Yes,44.9,55.1,125 S 11th St,PA,17501,717-859-0400,http://www.easdpa.org,Akron,Not Available,296,2.4,"K5H, K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2568,113362603,Clay El Sch,Ephrata Area School District,SD,465,3,2.8,7.5,0.2,0.2,81.1,5.2,34.2,4.3,20,Yes,55.5,44.5,250 Clay School Rd,PA,17522,717-721-1100,http://www.easdpa.org,Ephrata,Not Available,465,2.4,"K5H, K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2570,113362603,Highland El Sch,Ephrata Area School District,SD,448,1.8,2.2,12.7,0,0.2,79.2,3.8,48.9,2.0,13.2,Yes,53.6,46.4,99 Highland Ave,PA,17522,717-721-1160,http://www.easdpa.org,Ephrata,Not Available,448,0.2,"K5H, K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2574,113363103,East Petersburg El Sch,Hempfield School District,SD,474,1.7,7.2,19,0,0,70.7,1.5,43.9,4.4,18.4,Yes,49.6,50.4,5700 Lemon St,PA,17520,717-569-1211,http://www.hempfieldsd.org,East Petersburg,Not Available,474,3.4,"K5H, K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2575,113363103,Rohrerstown El Sch,Hempfield School District,SD,456,9.6,6.1,14.7,0,0.2,67.8,1.5,35.1,10.7,19.5,No,52.6,47.4,2200 Noll Drive,PA,17603,717-299-7126,http://www.hempfieldsd.org,Lancaster,Not Available,456,4.8,"K5H, K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2576,113363103,Mountville El Sch,Hempfield School District,SD,577,5.9,6.2,18.5,0,0,66.7,2.6,39.9,5.5,14.4,Yes,52,48,200 College Ave,PA,17554,717-285-5501,http://www.hempfieldsd.org,Mountville,Not Available,577,1.7,"K5H, K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2577,113363103,Farmdale El Sch,Hempfield School District,SD,536,1.7,4.5,13.6,0,0,77.8,2.4,37.7,6.7,18.5,Yes,50,50,695 Prospect Rd,PA,17552,717-898-5595,http://www.hempfieldsd.org,Mount Joy,Not Available,536,1.1,"K5H, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2578,113363103,Hempfield SHS,Hempfield School District,SD,2170,4.6,4.4,13.8,0,0.2,75.2,1.8,29.2,1.9,12.5,No,51.1,48.9,200 Stanley Ave,PA,17538,717-898-5510,http://www.hempfieldsd.org,Landisville,Not Available,2170,6.1,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2581,113364002,Fulton El Sch,Lancaster School District,SD,411,6.1,14.6,61.8,0.2,0,11.7,5.6,95.1,21.4,15.8,Yes,49.9,50.1,225 W Orange St,PA,17603,717-291-6110,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,411,0.7,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2584,113364002,Lafayette El Sch,Lancaster School District,SD,540,5.7,15.9,61.5,0,0,11.1,5.7,93.5,13.3,16.7,Yes,51.7,48.3,1000 Fremont St,PA,17603,717-291-6183,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,540,1.1,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2587,113364002,Ross El Sch,Lancaster School District,SD,318,6,13.8,54.4,0,0,16,9.8,91.8,14.8,7.9,Yes,50.3,49.7,840 N Queen St,PA,17603,717-291-6268,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,318,0,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2589,113364002,George Washington El Sch,Lancaster School District,SD,551,1.8,12.7,80.8,0,0.2,1.3,3.3,96.4,22.7,18.5,Yes,52.4,47.6,545 S Ann St,PA,17602,717-291-6275,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,551,0,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2590,113364002,Thomas Wharton El Sch,Lancaster School District,SD,332,4.2,8.7,47,0,0,32.5,7.5,80.7,9.9,12,Yes,47.9,52.1,705 N Mary St,PA,17603,717-291-6281,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,332,3.6,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2591,113364002,Wickersham El Sch,Lancaster School District,SD,454,9.2,18.1,54.2,0,0.4,10.4,7.7,91.2,15.6,15,Yes,53.7,46.3,401 N Reservoir St,PA,17602,717-291-6291,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,454,1.1,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2592,113364002,Hamilton El Sch,Lancaster School District,SD,454,5.3,12.1,66.3,0,0,9.9,6.4,89,16.1,13.9,Yes,52,48,1300 Wabank Rd,PA,17603,717-291-6166,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,454,1.3,"K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2593,113364002,Hand MS,Lancaster School District,SD,523,3.1,19.5,70.6,0,0,4.4,2.5,95,22.4,21.8,Yes,50.5,49.5,431 S Ann St,PA,17602,717-291-6161,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,523,0.8,"6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2594,113364002,Reynolds MS,Lancaster School District,SD,557,5.8,18.5,56.6,0,0,16.2,3,89.6,20.3,19.7,Yes,49.9,50.1,605 W Walnut St,PA,17603,717-291-6257,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,557,4,"6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2595,113364002,Lincoln MS,Lancaster School District,SD,494,5.3,17.2,59.1,0,0.2,11.3,6.9,92.3,16.2,20.4,Yes,51,49,1001 Lehigh Ave,PA,17602,717-291-6187,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,494,1.2,"6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2596,113364002,McCaskey Campus,Lancaster School District,SD,2734,4.9,19.4,57.6,0,0.1,15.2,2.8,87.9,20.0,18.3,Yes,49.9,50.1,445 N Reservoir St,PA,17602,717-291-6211,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,2734,2.6,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2597,113364002,James Buchanan El Sch,Lancaster School District,SD,371,5.9,11.9,41,0,0.3,30.7,10.2,83.6,8.4,11.1,Yes,49.9,50.1,340 S West End Ave,PA,17603,717-291-6151,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,371,1.9,"K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2598,113364002,Burrowes Sch,Lancaster School District,SD,381,4.5,11.6,68,0,0,9.7,6.3,90.8,12.3,14.7,Yes,52.8,47.2,1001 E Orange St,PA,17602,717-291-6159,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,381,0.5,"PreKF, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2599,113364002,Elizabeth R Martin El Sch,Lancaster School District,SD,730,5.5,14.8,56,0,0.1,18.8,4.8,84.8,8.1,14.5,Yes,47.1,52.9,2000 Wabank Rd,PA,17603,717-291-6193,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,730,2.3,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2600,113364002,Wheatland MS,Lancaster School District,SD,584,4.6,18.3,55.3,0,0,16.4,5.3,87.3,11.1,18.8,Yes,55.8,44.2,919 Hamilton Park Dr,PA,17603,717-291-6285,http://www.lancaster.k12.pa.us/,Lancaster,Not Available,584,4.1,"6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2606,113363603,Hans Herr El Sch,Lampeter-Strasburg School District,SD,694,1.3,1.9,9.8,0,0,83.1,3.9,27.2,1.0,13.7,Yes,52.2,47.8,1600 Book Rd,PA,17537,717-464-3311,http://www.l-spioneers.org,Lampeter,Not Available,694,3.9,"3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2607,113363603,Lampeter-Strasburg SHS,Lampeter-Strasburg School District,SD,1043,2,1.6,6.4,0,0,88.2,1.7,23.1,1.1,11,No,51.9,48.1,1600 Book Rd,PA,17537,717-464-3311,http://www.l-spioneers.org,Lampeter,Not Available,1043,9.3,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2618,113364403,Manheim Central SHS,Manheim Central School District,SD,945,2.9,2,7.1,0.2,0,84.2,3.6,31,0.3,12.6,No,53.1,46.9,400 Adele Ave,PA,17545,717-664-8400,http://www.manheimcentral.org,Manheim,Not Available,945,5.2,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2619,113364503,Brecht Sch,Manheim Township School District,SD,291,4.5,4.8,20.6,0,0,61.9,8.2,44,4.5,15.8,No,51.6,48.4,1250 Lititz Pike,PA,17601,717-291-1733,http://www.mtwp.net,Lancaster,Not Available,291,1,"K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2620,113364503,Schaeffer Sch,Manheim Township School District,SD,287,2.8,3.1,18.8,0,0,67.6,7.7,30.7,3.1,11.1,No,50.2,49.8,875 Pleasure Rd,PA,17601,717-392-6797,http://www.mtwp.net,Lancaster,Not Available,287,2.1,"K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2621,113364503,Neff Sch,Manheim Township School District,SD,334,4.8,2.4,8.1,0,0.3,78.4,6,24,1.2,18.3,No,58.4,41.6,21 Valley Rd,PA,17606,717-569-8502,http://www.mtwp.net,Lancaster,Not Available,334,4.5,"K5F, 1, 2, 3, 4",Lancaster-Lebanon IU 13,http://www.iu13.org
2623,113364503,Manheim Twp HS,Manheim Township School District,SD,1757,9.4,3.9,13.8,0.2,0.1,68.3,4.4,27.8,2.6,8.8,Yes,53.5,46.5,School Road,PA,17601,717-560-3097,http://www.mtwp.net,Lancaster,Not Available,1757,7.9,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2626,113365203,Hambright El Sch,Penn Manor School District,SD,556,6.5,6.5,24.3,0.4,0,58.1,4.3,46.6,6.3,13.7,Yes,51.1,48.9,3000 Charlestown Rd,PA,17603,717-872-9503,http://www.pennmanor.net,Lancaster,Not Available,556,3.6,"K5H, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2627,113365203,Letort El Sch,Penn Manor School District,SD,300,0.7,3,5.3,0,0,88.3,2.7,24,0.3,14,No,48,52,561 Letort Rd,PA,17582,717-872-9530,http://www.pennmanor.net,Washington Boro,Not Available,300,2.7,"K5H, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2628,113365203,Martic El Sch,Penn Manor School District,SD,325,0.9,0.6,4.9,0,0.3,92,1.2,41.5,0.3,17.2,Yes,50.8,49.2,266 Martic Heights Dr,PA,17532,717-284-4128,http://www.pennmanor.net,Holtwood,Not Available,325,3.1,"K5H, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2629,113365203,Eshleman El Sch,Penn Manor School District,SD,333,3.3,3.3,14.7,0,0,71.8,6.9,32.1,2.4,11.4,No,52.2,47.8,545 Leaman Ave,PA,17551,717-872-9540,http://www.pennmanor.net,Millersville,Not Available,333,2.7,"K5H, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2633,113365203,Penn Manor HS,Penn Manor School District,SD,1625,2.5,4.7,12.4,0.2,0.2,77.3,2.6,31.9,2.5,15.3,No,52.2,47.8,East Cottage Avenue,PA,17551,717-872-9520,http://www.pennmanor.net,Millersville,Not Available,1625,9.4,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2634,113365203,Pequea El Sch,Penn Manor School District,SD,346,2.3,3.2,8.7,0,0,80.9,4.9,35,3.5,23.4,Yes,50.6,49.4,802 Millwood Rd,PA,17584,717-464-3831,http://www.pennmanor.net,Willow Street,Not Available,346,1.4,"K5H, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2648,113365303,Salisbury El Sch,Pequea Valley School District,SD,324,0,0.6,2.8,0,0.3,91.7,4.6,54.6,0.0,22.5,Yes,50,50,422 School Lane Rd,PA,17527,717-442-8268,http://www.pequeavalley.org,Gap,Not Available,324,1.5,"K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2649,113365303,Pequea Valley HS,Pequea Valley School District,SD,494,1.8,2,7.7,0,0,84.8,3.6,46.4,2.0,11.1,No,50,50,4033 E Newport Rd,PA,17535,717-768-5500,http://www.pequeavalley.org,Kinzers,Not Available,494,7.3,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2654,113367003,Providence El Sch,Solanco School District,SD,361,0.3,0.6,6.9,0,0,90.9,1.4,49,0.6,22.4,Yes,50.4,49.6,137 Truce Rd,PA,17560,717-786-3582,http://www.solancosd.org/,New Providence,Not Available,361,1.7,"K5H, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2655,113367003,Quarryville El Sch,Solanco School District,SD,424,0,0.7,11.3,0,0.2,82.8,5,41.3,3.8,15.6,Yes,53.3,46.7,211 S Hess St,PA,17566,717-786-2546,http://www.solancosd.org/,Quarryville,Not Available,424,3.5,"K5H, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2656,113367003,Bart-Colerain El Sch,Solanco School District,SD,253,0.8,0.8,4,0,0,93.3,1.2,41.5,0.4,12.6,Yes,56.1,43.9,1336 Noble Rd,PA,17509,717-529-2181,http://www.solancosd.org/,Christiana,Not Available,253,2.4,"K5H, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2657,113367003,Smith MS,Solanco School District,SD,426,0.5,0.7,11,0,0,85.9,1.9,47.6,2.6,11.7,No,53.3,46.7,645 Kirkwood Pike,PA,17566,717-786-2244,http://www.solancosd.org/,Quarryville,Not Available,426,5.4,"6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2658,113367003,Solanco HS,Solanco School District,SD,1090,1,2.2,9.5,0,0.2,85.7,1.4,39.9,2.0,11.6,No,53.5,46.5,585 Solanco Rd,PA,17566,717-786-2151,http://www.solancosd.org/,Quarryville,Not Available,1090,5.3,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2660,113369003,Lititz El Sch,Warwick School District,SD,511,4.5,1.6,6.8,0,0,83.2,3.9,32.9,1.4,10.4,Yes,51.7,48.3,20 S Cedar St,PA,17543,717-626-3702,http://www.warwicksd.org,Lititz,Not Available,511,5.3,"K5H, K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2661,113369003,John Beck El Sch,Warwick School District,SD,505,0.6,1.8,4.8,0.2,0.2,89.9,2.6,20.4,1.2,13.5,No,47.9,52.1,418 E Lexington Rd,PA,17543,717-626-3704,http://www.warwicksd.org,Lititz,Not Available,505,3.8,"K5H, K5F, 1, 2, 3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2663,113369003,Warwick SHS,Warwick School District,SD,1385,2.2,2.4,6.1,0.1,0.5,87.4,1.3,26.3,1.3,10,No,52.4,47.6,301 W Orange St,PA,17543,717-626-3700,http://www.warwicksd.org,Lititz,Not Available,1385,7,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2675,104372003,Lincoln JSHS,Ellwood City Area School District,SD,745,0.9,1.1,1.6,0,0,92.1,4.3,42,0.5,9.7,No,48.3,51.7,501 Crescent Ave,PA,16117,724-752-1591,http://www.ellwood.k12.pa.us,Ellwood City,Not Available,745,3.6,"7, 8, 9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2680,104374003,Laurel JSHS,Laurel School District,SD,550,0.2,1.1,1.1,0,0,97.1,0.6,29.8,0.0,8.4,No,47.3,52.7,2497 Harlansburg Rd,PA,16101,724-658-9056,http://www.laurel.k12.pa.us,New Castle,Not Available,550,4,"7, 8, 9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2686,104375003,Mohawk JSHS,Mohawk Area School District,SD,410,0.7,0.2,0.2,0,0.2,96.3,2.2,37.8,0.0,10,No,48.5,51.5,385 Mohawk School Road,PA,16112,724-667-7782,http://www.mohawk.k12.pa.us,Bessemer,Not Available,410,4.6,"9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2688,104375203,Neshannock Memorial El Sch,Neshannock Township School District,SD,585,0.7,0.8,1,0,0.2,95.7,1.5,21.9,0.0,15.6,Yes,49.6,50.4,3832 Mitchell Road,PA,16105,724-652-8709,http://www.ntsd.org,New Castle,Not Available,585,1.2,"K5H, K5F, 1, 2, 3, 4, 5, 6",Midwestern IU 4,http://www.miu4.org
2689,104375203,Neshannock JSHS,Neshannock Township School District,SD,614,1.3,1.5,0.5,0,0,95.6,1.1,19.5,0.0,9.6,No,51.5,48.5,3834 Mitchell Rd,PA,16105,724-658-5513,http://www.ntsd.org,New Castle,Not Available,614,3.6,"7, 8, 9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2701,104375302,Croton Pre-Kdg Ctr,New Castle Area School District,SD,98,0,16.3,1,0,0,62.2,20.4,62.2,0.0,0,No,60.2,39.8,420 Fern St,PA,16101,724-656-4815,http://www.ncasd.com,New Castle,Not Available,98,0,PreKF,Midwestern IU 4,http://www.miu4.org
2704,104375302,New Castle SHS,New Castle Area School District,SD,748,0.4,27.5,2.3,0,0.4,66.4,2.9,59.4,0.3,17.1,Yes,53.1,46.9,300 E Lincoln Ave,PA,16101,724-656-4700,http://www.ncasd.com,New Castle,Not Available,748,4,"9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2706,104376203,Shenango El Sch,Shenango Area School District,SD,572,0,0.5,1,0,0.2,95.4,2.8,39.5,0.2,15.9,Yes,49.6,50.4,2501 Old Pittsburgh Rd,PA,16101,724-658-5566,http://www.shenango.k12.pa.us,New Castle,Not Available,572,1.8,"K5F, 1, 2, 3, 4, 5, 6",Midwestern IU 4,http://www.miu4.org
2708,104376203,Shenango HS,Shenango Area School District,SD,536,0.9,0.9,0.6,0,0.2,95.2,2.2,31.3,0.6,10.6,No,49.8,50.2,2550 Ellwood Rd,PA,16101,724-658-5537,http://www.shenango.k12.pa.us,New Castle,Not Available,536,4.3,"7, 8, 9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2709,104377003,Union Memorial El Sch,Union Area School District,SD,335,0.3,13.7,0.9,0,0,82.4,2.7,56.4,0.0,17,Yes,48.4,51.6,500 S Scotland Ln,PA,16101,724-652-6683,http://www.union.k12.pa.us,New Castle,Not Available,335,0.6,"K4H, K5F, 1, 2, 3, 4, 5",Midwestern IU 4,http://www.miu4.org
2712,104377003,Union Area HS,Union Area School District,SD,196,0,17.4,2,0,0,80.6,0,51,0.0,20.9,No,58.2,41.8,2106 Camden Ave,PA,16101,724-658-4501,http://www.union.k12.pa.us,New Castle,Not Available,196,3.1,"9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2721,104378003,Wilmington Area HS,Wilmington Area School District,SD,385,1,1.3,1.8,0.3,0,94.3,1.3,29.9,0.8,15.3,No,50.1,49.9,350 Wood St,PA,16142,724-656-8866,http://www.wilmington.k12.pa.us,New Wilmington,Not Available,385,3.9,"9, 10, 11, 12",Midwestern IU 4,http://www.miu4.org
2723,113380303,Cleona El Sch,Annville-Cleona School District,SD,290,1,0.7,10.3,0,0,84.1,3.8,36.2,0.7,10,Yes,47.6,52.4,50 E Walnut St,PA,17042,717-867-7640,http://www.acschools.org,Cleona,Not Available,290,0.3,"K5H, K5F, 1, 2",Lancaster-Lebanon IU 13,http://www.iu13.org
2724,113380303,Annville El Sch,Annville-Cleona School District,SD,436,1.2,1.6,9.9,0,0,85.3,2.1,37.4,2.5,15.4,No,50.9,49.1,205 S White Oak St,PA,17003,717-867-7620,http://www.acschools.org,Annville,Not Available,436,5.7,"3, 4, 5, 6",Lancaster-Lebanon IU 13,http://www.iu13.org
2725,113380303,Annville-Cleona HS,Annville-Cleona School District,SD,464,2.6,1.5,5.4,0,0,89.4,1.1,31.7,1.3,11.2,No,56,44,500 S White Oak St,PA,17003,717-867-7700,http://www.acschools.org,Annville,Not Available,464,9,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2728,113381303,Ebenezer El Sch,Cornwall-Lebanon School District,SD,626,2.9,6.6,9.3,0.2,0.5,76.7,4,39.6,3.4,16.8,Yes,52.6,47.4,1600 Colonial Cir,PA,17046,717-272-1969,http://www.clsd.k12.pa.us,Lebanon,Not Available,626,1.1,"K5H, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2729,113381303,South Lebanon El Sch,Cornwall-Lebanon School District,SD,583,1.4,4.1,9.1,0.2,0.2,82.5,2.6,34.8,3.1,17.2,No,53.9,46.1,1825 S 5th Ave,PA,17042,717-273-4546,http://www.clsd.k12.pa.us,Lebanon,Not Available,583,1.4,"K5H, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2735,113382303,Jackson El Sch,Eastern Lebanon County School District,SD,247,0.4,2.8,3.2,0,0,92.3,1.2,28.3,0.4,13.8,No,54.7,45.3,558 W Main Ave,PA,17067,717-866-2624,http://www.elcosd.org,Myerstown,Not Available,247,0.4,"K5H, K5F, 1, 2",Lancaster-Lebanon IU 13,http://www.iu13.org
2740,113382303,Eastern Lebanon Co SHS,Eastern Lebanon County School District,SD,709,1.3,2.5,3.7,0,0.1,92.2,0.1,32,0.1,13,No,51.2,48.8,180 Elco Dr,PA,17067,717-866-7447,http://www.elcosd.org,Myerstown,Not Available,709,5.6,"9, 10, 11, 12",Lancaster-Lebanon IU 13,http://www.iu13.org
2743,113384603,Southwest El Sch,Lebanon School District,SD,483,0.8,3.7,63.4,0,0,28.4,3.7,71.4,13.3,9.9,Yes,48.4,51.6,1500 Woodland St,PA,17042,717-273-9391,http://www.lebanon.k12.pa.us,Lebanon,Not Available,483,1.9,"K4F, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2746,113384603,Southeast El Sch,Lebanon School District,SD,507,0.6,3.4,60.2,0,0.4,31.4,4.1,77.1,13.2,8.1,Yes,48.1,51.9,499 East Pershing Ave,PA,17042,717-273-9391,http://www.lebanon.k12.pa.us,Lebanon,Not Available,507,1.6,"K4F, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2754,113384603,Lebanon MS,Lebanon School District,SD,1053,0.8,5.5,65.4,0,0.3,26.3,1.6,71.4,17.1,22.3,Yes,51,49,350 N 8th St,PA,17046,717-273-9391,http://www.lebanon.k12.pa.us,Lebanon,Not Available,1053,4.9,"6, 7, 8",Lancaster-Lebanon IU 13,http://www.iu13.org
2755,113385003,Fredericksburg El Sch,Northern Lebanon School District,SD,203,0,0.5,1,0,0,98.5,0,35,0.0,19.2,Yes,53.2,46.8,119 E Walnut St,PA,17026,717-865-4107,http://www.norleb.k12.pa.us,Fredericksburg,Not Available,203,2,"1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2756,113385003,Lickdale El Sch,Northern Lebanon School District,SD,209,1,1.9,5.3,0,0,89.5,2.4,34.4,0.0,20.1,Yes,50.7,49.3,40 Fisher Avenue,PA,17038,717-865-4012,http://www.norleb.k12.pa.us,Jonestown,Not Available,209,1,"1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
2757,113385003,Jonestown El Sch,Northern Lebanon School District,SD,515,0.4,0.8,8.9,0,0.2,87.6,2.1,34.2,0.6,16.5,Yes,51.6,48.4,135 South King St,PA,17038,717-865-3193,http://www.norleb.k12.pa.us,Jonestown,Not Available,515,1.4,"K5H, K5F, 1, 2, 3, 4, 5",Lancaster-Lebanon IU 13,http://www.iu13.org
